ts,userId,sessionId,page,auth,method,status,level,itemInSession,location,userAgent,lastName,firstName,registration,gender,artist,song,length
1538355745000,,8,Home,Logged Out,GET,200,free,100,,,,,,,,,
1538355807000,,8,Help,Logged Out,GET,200,free,101,,,,,,,,,
1538355841000,,8,Home,Logged Out,GET,200,free,102,,,,,,,,,
1538355842000,,8,Login,Logged Out,PUT,307,free,103,,,,,,,,,
1538356678000,,240,Home,Logged Out,GET,200,free,2,,,,,,,,,
1538356679000,,240,Login,Logged Out,PUT,307,free,3,,,,,,,,,
1538358102000,,100,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538360117000,,241,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538361527000,,187,Home,Logged Out,GET,200,free,14,,,,,,,,,
1538361528000,,187,Login,Logged Out,PUT,307,free,15,,,,,,,,,
1538362007000,,187,Home,Logged Out,GET,200,free,21,,,,,,,,,
1538362095000,,187,Home,Logged Out,GET,200,free,22,,,,,,,,,
1538362096000,,187,Login,Logged Out,PUT,307,free,23,,,,,,,,,
1538363488000,,27,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538363494000,,27,About,Logged Out,GET,200,free,1,,,,,,,,,
1538363503000,,27,Home,Logged Out,GET,200,free,2,,,,,,,,,
1538364254000,,187,Home,Logged Out,GET,200,free,38,,,,,,,,,
1538364255000,,187,Login,Logged Out,PUT,307,free,39,,,,,,,,,
1538364750000,,257,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538370681000,,100,Home,Logged Out,GET,200,free,47,,,,,,,,,
1538373351000,,255,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538373352000,,255,Login,Logged Out,PUT,307,free,9,,,,,,,,,
1538373513000,,44,Home,Logged Out,GET,200,free,4,,,,,,,,,
1538375694000,,267,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538375695000,,267,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538376396000,,86,Login,Logged Out,PUT,307,free,0,,,,,,,,,
1538377519000,,266,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538377520000,,266,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538378205000,,266,Home,Logged Out,GET,200,free,8,,,,,,,,,
1538379865000,,267,Home,Logged Out,GET,200,free,24,,,,,,,,,
1538379891000,,267,About,Logged Out,GET,200,free,25,,,,,,,,,
1538379892000,,267,Login,Logged Out,PUT,307,free,26,,,,,,,,,
1538381499000,,141,Home,Logged Out,GET,200,paid,49,,,,,,,,,
1538381500000,,141,Login,Logged Out,PUT,307,paid,50,,,,,,,,,
1538382349000,,141,Home,Logged Out,GET,200,paid,57,,,,,,,,,
1538382350000,,141,Login,Logged Out,PUT,307,paid,58,,,,,,,,,
1538388294000,,248,Home,Logged Out,GET,200,paid,95,,,,,,,,,
1538388295000,,248,Login,Logged Out,PUT,307,paid,96,,,,,,,,,
1538388557000,,246,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538388594000,,246,Help,Logged Out,GET,200,free,1,,,,,,,,,
1538389110000,,208,Home,Logged Out,GET,200,free,0,,,,,,,,,
1538389111000,,208,Login,Logged Out,PUT,307,free,1,,,,,,,,,
1538389406000,,237,Login,Logged Out,PUT,307,paid,0,,,,,,,,,
1538390065000,,267,Home,Logged Out,GET,200,free,77,,,,,,,,,
1538390066000,,267,Login,Logged Out,PUT,307,free,78,,,,,,,,,
1538390405000,,263,Home,Logged Out,GET,200,free,2,,,,,,,,,
1538390440000,,263,Help,Logged Out,GET,200,free,3,,,,,,,,,
1538390441000,,263,Login,Logged Out,PUT,307,free,4,,,,,,,,,
1538390847000,,223,Home,Logged Out,GET,200,free,17,,,,,,,,,
1538390848000,,223,Login,Logged Out,PUT,307,free,18,,,,,,,,,
1538391913000,,141,Home,Logged Out,GET,200,paid,103,,,,,,,,,
1538391914000,,141,Login,Logged Out,PUT,307,paid,104,,,,,,,,,
1538396646000,,125,Home,Logged Out,GET,200,free,34,,,,,,,,,
1538396647000,,125,Login,Logged Out,PUT,307,free,35,,,,,,,,,
1538398122000,,236,Home,Logged Out,GET,200,paid,0,,,,,,,,,
1538398132000,,236,Home,Logged Out,GET,200,paid,1,,,,,,,,,
1538398179000,,236,Home,Logged Out,GET,200,paid,2,,,,,,,,,
1538398232000,,237,Home,Logged Out,GET,200,paid,43,,,,,,,,,
